,total_num,average_revenue,rating,voting_total,years
0,1.0,213.22667539999998,7.4,60.0,1910
1,4.0,96.3031403,7.870619946091645,742.0,1920
2,15.0,811.7992562533332,7.389728243286961,6182.0,1930
3,25.0,313.16870118,7.333215017064846,7325.0,1940
4,27.0,113.51038389777779,7.838039705678189,7203.0,1950
5,71.0,215.3767321464789,7.54326721961774,27730.0,1960
6,109.0,252.93106242495412,7.58540789705341,62479.0,1970
7,278.0,114.50917097985611,7.18563060826026,146993.0,1980
8,778.0,84.639774138509,7.024867350305165,436488.0,1990
9,2048.0,60.402072482680666,6.693272591656058,1195884.0,2000
10,1446.0,74.82986302780084,6.629668665920892,1424031.0,2010
