un_stem list,total numbers
['woman director'],324
['independent film'],318
['duringcreditsstinger'],307
"['murder', 'murderer']",197
['based on novel'],197
['aftercreditsstinger'],170
"['musical', 'music']",151
['violence'],150
['dystopia'],139
['sport'],126
['revenge'],118
['sex'],111
['friendship'],106
['biography'],105
['teenager'],99
['3d'],98
['love'],95
['sequel'],94
"['suspense', 'suspension']",93
['new york'],89
"['prison', 'prisoner']",87
['police'],84
"['alcohol', 'alcoholism', 'alcoholic']",82
['los angeles'],81
['high school'],80
"['alien', 'alienation']",80
"['drug', 'drugs', 'drugged']",72
['nudity'],71
"['assassin', 'assassination']",70
['superhero'],69
['london england'],69
['family'],69
['dying and death'],66
['father son relationship'],65
['daughter'],61
"['suicide', 'suicidal']",59
"['friends', 'friend']",59
['world war ii'],58
['kidnapping'],57
['wedding'],57
"['serial killer', 'serial kiler']",57
['remake'],56
['magic'],55
"['explosion', 'explosive', 'explosives']",55
"['fight', 'fighting']",54
"['party', 'partying']",53
"['time travel', 'time traveler']",53
['corruption'],53
['escape'],52
['based on comic book'],52
['hospital'],52
['based on true story'],51
"['investigator', 'investigation']",51
['martial arts'],51
['airplane'],50
"['animation', 'animal', 'anime']",50
['brother brother relationship'],49
['female nudity'],49
['survival'],49
['fbi'],49
"['prostitute', 'prostitution']",49
['money'],48
"['dance', 'dancing']",48
['blood'],48
['future'],47
['cia'],46
['best friend'],46
['gay'],46
['secret'],46
['lawyer'],45
['paris'],45
['zombie'],45
"[""love of one's life""]",45
"['spy', 'spying']",45
['undercover'],44
['war'],44
['flashback'],44
['small town'],44
['new love'],43
['based on young adult novel'],43
['rescue'],42
['conspiracy'],42
['jealousy'],42
['wife husband relationship'],42
['vampire'],42
['rape'],42
['death'],42
['witch'],42
['divorce'],41
"['dream', 'dreams']",41
['journalist'],41
['shootout'],41
['monster'],40
['obsession'],40
['teacher'],40
['robbery'],40
['new york city'],39
['hotel'],39
['detective'],39
['england'],39
['dog'],39
['soldier'],39
['gore'],39
['adultery'],38
"['terrorism', 'terror']",38
['hitman'],37
['ghost'],36
['christmas'],36
['1970s'],36
['hostage'],36
"['drug dealing', 'drug dealer', 'drug deal']",36
['relationship'],36
['sister sister relationship'],36
['marriage'],36
"['train', 'training']",36
['competition'],35
['holiday'],35
['island'],35
['marvel comic'],34
['brother sister relationship'],34
['college'],34
['saving the world'],34
['secret identity'],34
['gangster'],34
['romantic comedy'],34
['coming of age'],34
['infidelity'],34
['slasher'],33
"['government', 'governance', 'governer']",33
['usa president'],33
['helicopter'],33
"['christian', 'christianity']",33
"['scientist', 'scientists']",33
['terrorist'],33
['blackmail'],32
['army'],32
['fbi agent'],32
['usa'],32
['doctor'],32
['parents kids relationship'],31
['chase'],31
['battle'],31
['mother daughter relationship'],30
['gang'],30
['ship'],30
['neighbor'],30
['psychopath'],30
['based on video game'],30
['post-apocalyptic'],30
['nightmare'],30
['california'],29
['mutant'],29
['rivalry'],29
['hero'],29
['found footage'],29
['black people'],29
['sheriff'],29
['extramarital affair'],29
['faith'],29
['killer'],28
['space marine'],28
"['gun', 'guns']",28
['writer'],28
['supernatural'],28
['single'],28
['male nudity'],27
"['author', 'authority']",27
['space'],27
['robot'],27
['loss of father'],27
"['desert', 'deserter']",27
"['fire', 'fired']",27
"['torture', 'torturing']",27
"['bomb', 'bombing']",27
['road trip'],27
['marriage crisis'],26
['texas'],26
['secret agent'],26
['criminal'],26
['children'],26
['family relationships'],26
"['lie', 'lying']",26
['artificial intelligence'],26
['deception'],26
['car chase'],26
['comedy'],25
['forest'],25
"['nazis', 'nazi']",25
['princess'],25
['marijuana'],25
"['horse', 'horses']",25
['car crash'],25
"['lovers', 'lover']",25
['beach'],25
['mission'],25
['spoof'],24
"['politics', 'political']",24
['mafia'],24
['san francisco'],24
['demon'],24
['father daughter relationship'],24
['baseball'],24
['funeral'],23
"['intelligence', 'intelligent']",23
['chicago'],23
"['date', 'dating']",23
['dark comedy'],23
['reporter'],23
"['mountains', 'mountaineering', 'mountaineer', 'mountain']",23
"['widow', 'widower']",23
['orphan'],23
['amnesia'],23
['imax'],23
['romance'],23
"['bank', 'banking']",22
['alien invasion'],22
"['drug addiction', 'drug addict']",22
['dc comics'],22
['space travel'],22
['bar'],22
['american football'],22
['motorcycle'],22
['jungle'],22
['neo-noir'],22
['space opera'],21
['kiss'],21
['hallucination'],21
['astronaut'],21
['restaurant'],21
['historical figure'],21
['village'],21
['cancer'],21
['android'],21
['falling in love'],21
['summer'],21
['19th century'],21
['secret love'],21
['priest'],21
['professor'],21
"['virgin', 'virginity']",21
['military'],21
['suicide attempt'],21
"['lovesickness', 'lovesick']",21
['werewolf'],21
['super powers'],21
['young adult'],21
"['celebration', 'celebrity']",21
['dinosaur'],20
['youth'],20
"['boy', 'boys']",20
['casino'],20
"['gunfight', 'gunfighter']",20
['loss of mother'],20
['crime'],20
"['student', 'students']",20
['spaceship'],20
['street gang'],20
"['adventurer', 'adventure']",20
['nightclub'],20
['winter'],20
['good vs evil'],20
['on the run'],20
['teenage girl'],20
['curse'],20
['baby'],20
['france'],19
"['individual', 'individuality']",19
['queen'],19
['fantasy'],19
['betrayal'],19
['loss of family'],19
['extreme violence'],19
['cowardliness'],19
['adoption'],19
['underdog'],19
['pilot'],19
['heist'],19
['pregnancy'],19
['lesbian'],19
['1960s'],19
['dragon'],19
['psychiatrist'],19
['japan'],19
"['surrealism', 'surreal']",18
"['immigrant', 'immigration']",18
['shark'],18
['computer'],18
['evil'],18
['depression'],18
['satire'],18
['court'],18
"['travel', 'traveller']",18
['nurse'],18
['racism'],18
['cold war'],18
"['retirement', 'retired']",18
"['clone', 'cloning']",18
"['snowing', 'snow']",18
['dysfunctional family'],18
"['supernatural powers', 'supernatural power']",18
"['bullying', 'bully']",18
['becoming an adult'],18
['fairy tale'],18
['paranoia'],18
['politician'],18
['florida'],18
['male friendship'],18
['based on tv series'],18
['australia'],18
['hollywood'],17
['male female relationship'],17
['success'],17
"['journalism', 'journal']",17
"['bear', 'bears']",17
['fistfight'],17
['subway'],17
['motel'],17
['showdown'],17
['church'],17
['british secret service'],17
['car race'],17
['hoodlum'],17
['strip club'],17
['forbidden love'],17
['partner'],17
['female protagonist'],17
['thief'],17
['police brutality'],17
['sister'],17
['school'],17
['loss of lover'],17
['lgbt'],17
['homosexuality'],17
['insanity'],17
['washington d.c.'],17
"['singer', 'singers']",17
['traitor'],17
['mother'],17
['sniper'],17
['resistance'],17
"['transformers', 'transformation']",17
"['photographer', 'photograph']",16
['weapon'],16
['crime fighter'],16
"['isolation', 'isolated']",16
"['dangerous', 'danger']",16
['letter'],16
['fang vamp'],16
"['vigilante', 'vigilantism']",16
['child abuse'],16
['hip-hop'],16
['hacker'],16
['wilderness'],16
['prince'],16
['kingdom'],16
"['spirit', 'spiritism']",16
['inventor'],16
['haunted house'],16
['afterlife'],16
['road movie'],16
['anti hero'],16
['swimming pool'],16
['ocean'],16
"['experiment', 'experience']",16
['taxi'],16
['exotic island'],16
['court case'],16
['mexico'],16
['egypt'],16
['death of a friend'],16
['love triangle'],16
['police officer'],16
['halloween'],16
['submarine'],15
"['bite', 'biting']",15
['treasure hunt'],15
['birthday'],15
"['memory', 'memories']",15
['villain'],15
['1980s'],15
['seduction'],15
['mobster'],15
['drug traffic'],15
['wheelchair'],15
['nasa'],15
"['brother', 'brothers']",15
['bridge'],15
"['immortality', 'immortal']",15
['midlife crisis'],15
['southern usa'],15
['waitress'],15
['las vegas'],15
['airport'],15
['wife'],15
['royalty'],15
['marriage proposal'],15
['female friendship'],15
"['moon', 'mooning']",15
['general'],14
['agent'],14
['river'],14
['organized crime'],14
"['fish', 'fishing']",14
['teen movie'],14
['mercenary'],14
['single mother'],14
['musician'],14
['gold'],14
['italy'],14
['culture clash'],14
['apocalypse'],14
"['researcher', 'research']",14
['child'],14
['cult film'],14
['millionaire'],14
['freedom'],14
['shipwreck'],14
['sexuality'],14
['boxer'],14
['talking animal'],14
['car'],14
['pirate'],14
['based on play'],14
['mistaken identity'],14
['religion'],14
['bounty hunter'],14
['cocaine'],14
['swordplay'],14
['father'],14
['loneliness'],14
['mask'],14
['bible'],14
['love at first sight'],14
['gambling'],14
"['possession', 'possessed', 'possessiveness']",14
['mass murder'],14
['fear'],14
"['trap', 'trapped']",14
['cheating'],14
['vision'],14
['diner'],14
['surveillance'],14
['mother son relationship'],14
['lake'],13
['fantasy world'],13
"['psychology', 'psychological']",13
['native american'],13
['castle'],13
['civil war'],13
['fugitive'],13
['unsociability'],13
['ambush'],13
['disaster'],13
['one-night stand'],13
['virtual reality'],13
['president'],13
"['mutation', 'mutations']",13
['toy comes to life'],13
['judge'],13
['jew'],13
['prophecy'],13
['painting'],13
['marvel cinematic universe'],13
['1950s'],13
['outer space'],13
['single parent'],13
"['brutality', 'brutal']",13
['corpse'],13
['race against time'],13
['capitalism'],13
['foot chase'],13
"['cook', 'cooking']",13
['mockumentary'],13
"['games', 'game']",13
['upper class'],13
['mission of murder'],13
['tv show'],13
['christmas party'],13
['chaos'],13
['based on true events'],13
['redemption'],13
"['film making', 'film maker']",13
['basketball'],13
"['plan', 'planning']",13
['hotel room'],13
['concert'],13
['riddle'],13
['berlin'],13
['treasure'],13
['sword'],13
['sword and sorcery'],13
['dystopic future'],13
['olympic games'],13
['scotland'],13
['africa'],13
['cat'],13
['sea'],13
"['cop', 'cops']",13
['archaeologist'],13
"['senate', 'senator']",13
['kids and family'],13
['narration'],13
['cover-up'],13
['nanny'],12
['secret service'],12
['animal horror'],12
['fraud'],12
['roommate'],12
['age difference'],12
['china'],12
"['transporter', 'transport', 'transportation']",12
['monkey'],12
['shotgun'],12
['power'],12
"['arrest', 'arrested']",12
"['beauty', 'beautiful']",12
['espionage'],12
['underworld'],12
['pistol'],12
['coma'],12
['war crimes'],12
"['gods', 'god']",12
['dirty cop'],12
['based on stage musical'],12
['xenophobia'],12
['boston'],12
['coming out'],12
['radio'],12
['farm'],12
['spacecraft'],12
['slavery'],12
['eroticism'],12
"['camp', 'camping']",12
"['puppet', 'puppeteer']",12
['police operation'],12
['white house'],12
['hostility'],12
['psychologist'],12
['technology'],12
['diary'],12
['right and justice'],12
['russia'],12
"['community', 'communication', 'commune', 'communism']",12
['science'],12
['cyberpunk'],12
['crush'],12
['career'],12
['dual identity'],12
['water'],12
['revolution'],12
['car accident'],12
['stripper'],12
['book'],12
['secret mission'],12
['cyborg'],12
['alaska'],12
"['cannibal', 'cannibalism', 'cannibals']",12
"['poison', 'poisoning']",12
['kung fu'],12
['gunslinger'],12
['museum'],12
['newspaper'],12
['secret organization'],12
['india'],12
['soccer'],12
['rebel'],12
['television'],12
['secret intelligence service'],12
['mexican standoff'],12
['double life'],12
['blood splatter'],12
['extraterrestrial technology'],12
['house'],11
['new jersey'],11
['animal attack'],11
['rock star'],11
"['haunting', 'haunted']",11
['married couple'],11
['cell phone'],11
['ex-cop'],11
['identity'],11
['graduation'],11
['photography'],11
['bank robbery'],11
['sexual abuse'],11
['sadness'],11
['bravery'],11
['drama'],11
['ladykiller'],11
['series of murders'],11
['u.s. army'],11
['prosecution'],11
['hawaii'],11
['theft'],11
['false identity'],11
"['bisexuality', 'bisexual']",11
['group of friends'],11
['rage and hate'],11
['bodyguard'],11
['vacation'],11
['prisoners of war'],11
['rap music'],11
['knight'],11
['wolf'],11
['ensemble cast'],11
['attack'],11
['indian lead'],11
['outlaw'],11
['alien life-form'],11
['shakespeare'],11
"['illegal immigration', 'illegal immigrant']",11
['loss of brother'],11
['war on drugs'],11
['forgiveness'],11
['liar'],11
['disfigurement'],11
['home invasion'],11
"['arms dealer', 'arms deal']",11
['horror'],11
"['woman', 'womanizer']",11
"['toy', 'toys']",11
"['heroine', 'heroin']",11
['interview'],11
['key'],11
['tiger'],11
['wretch'],11
['parody'],11
['uncle'],11
['emperor'],11
['illegal prostitution'],11
['bride'],11
['delusion'],11
['canada'],11
"['video gamer', 'video game']",11
['virus'],11
['world war i'],11
['drug abuse'],11
['self sacrifice'],11
"['voyeurism', 'voyeur']",11
['illness'],11
['atomic bomb'],11
['incest'],11
['flying'],11
['exorcism'],11
"['dark', 'darkness']",11
['job'],10
['new identity'],10
['iraq'],10
